,React,Product
35,CCOC(=O)c1ncc2[nH]c3ccc([N+](=O)[O-])cc3c2c1C,CCOC(=O)c1ncc2[nH]c3ccc(N)cc3c2c1C
36,CC(=O)Nc1cccc(-n2c(=O)c(C)nc3cccnc32)c1,Cc1nc2cccnc2n(-c2cccc(N)c2)c1=O
37,Oc1ccc2[nH]ccc2c1,Oc1ccc2c(c1)CCN2
38,CCOC(=O)CCCC1C(=O)c2ccccc2N(CCCN(C)C)c2ccccc21,CCOC(=O)CCCC1Cc2ccccc2N(CCCN(C)C)c2ccccc21
39,COC(=O)C(Cc1ccccc1)NC(=S)Nc1nc(C#N)cs1,N#Cc1csc(N2C(=O)C(Cc3ccccc3)NC2=S)n1
40,CCOC(=O)CC1OB(O)c2cc(OCCC(=O)OC(C)(C)C)cc(C)c21,Cc1cc(OCCC(=O)OC(C)(C)C)cc2c1C(CC(=O)O)OB2O
41,C#CCC(CC#C)(C(=O)OC)C(=O)OC,C#CCC(CC#C)C(=O)OC
42,CCOC(=O)CCCOc1cccc(-c2noc(-c3ccc(OC(C)C)c(Cl)c3)n2)c1CC,CCc1c(OCCCC(=O)O)cccc1-c1noc(-c2ccc(OC(C)C)c(Cl)c2)n1
43,CC(C)(C)OC(=O)N1CCC(NC(=O)OCc2ccccc2)C(C(=O)N2CCCC(Cc3ccc(F)cc3)C2)C1,CC(C)(C)OC(=O)N1CCC(N)C(C(=O)N2CCCC(Cc3ccc(F)cc3)C2)C1
44,CCC(C(N)=O)N1CN(Cc2ccccc2)CC1=O,CCC(C(N)=O)N1CNCC1=O
45,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,Oc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1
46,CC(C)(C)OC(=O)Nc1ccc(CCN2CCCC(Cc3ccccc3)C2)cc1,Nc1ccc(CCN2CCCC(Cc3ccccc3)C2)cc1
47,CC(C)(C)OC(=O)NC(Cc1c[nH]c2ccccc12)c1nc(-c2ccc(F)cc2)c[nH]1,NC(Cc1c[nH]c2ccccc12)c1nc(-c2ccc(F)cc2)c[nH]1
48,COc1ccc2c(c1)CCN=C2c1ccc(OCc2ccccc2)cc1,COc1ccc2c(c1)CCNC2c1ccc(OCc2ccccc2)cc1
49,COCN1c2cc(CN3C(=O)c4ccccc4C3=O)ccc2Sc2nccnc21,COCN1c2cc(CN)ccc2Sc2nccnc21
50,CN(Cc1cn2c(N3CCC(NC(=O)OC(C)(C)C)C3)cccc2n1)C1CCCc2cccnc21,CN(Cc1cn2c(N3CCC(N)C3)cccc2n1)C1CCCc2cccnc21
51,CC1(C)CN(Cc2ccccc2)CC1O,CC1(C)CNCC1O
52,O=C1CCc2ccccc21,OC1CCc2ccccc21
53,COC(=O)c1ccc2c(c1)OCC2(C)C,CC1(C)COc2cc(C(=O)O)ccc21
54,O=C(OCC1OC(OC(=O)c2ccccc2)C(O)C1OC(=O)c1ccccc1)c1ccccc1,O=C(OCC1OC(OC(=O)c2ccccc2)C(=O)C1OC(=O)c1ccccc1)c1ccccc1
55,NC(=O)C1CN(C(=O)OCc2ccccc2)CCN1c1ccc2c(c1)OCCn1cc(-c3ncnn3CC(F)(F)F)nc1-2,NC(=O)C1CNCCN1c1ccc2c(c1)OCCn1cc(-c3ncnn3CC(F)(F)F)nc1-2
56,CC(C)C(NC(=O)C(C)N(C)C(=O)OC(C)(C)C)C(=O)N1c2ncccc2CC1CNC(=O)c1ccccc1,CNC(C)C(=O)NC(C(=O)N1c2ncccc2CC1CNC(=O)c1ccccc1)C(C)C
57,CC(C)(C)OC(=O)NNC(=O)C1CCCN(C(=O)c2ccc(F)cc2)C1,NNC(=O)C1CCCN(C(=O)c2ccc(F)cc2)C1
58,Nc1c(F)cc(F)c2oc(-c3ccc(NCCCN4C(=O)c5ccccc5C4=O)c(F)c3)cc(=O)c12,NCCCNc1ccc(-c2cc(=O)c3c(N)c(F)cc(F)c3o2)cc1F
59,COCCOCCNC(=O)C(NC(=O)OCc1ccccc1)C(C)(C)C,COCCOCCNC(=O)C(N)C(C)(C)C
60,COc1ccc2cc(C(C)C#N)ccc2c1Br,COc1ccc2cc(C(C)C#N)ccc2c1
61,O=C(OCc1ccccc1)N1CCN(C(c2ccccc2)(c2ccccc2)c2ccccc2)C(CO)C1,O=CC1CN(C(=O)OCc2ccccc2)CCN1C(c1ccccc1)(c1ccccc1)c1ccccc1
62,CC(C)(O)CCCOCCC1CC2C(O)CCCC2(C)C1(C)C,CC(C)(O)CCCOCCC1CC2C(=O)CCCC2(C)C1(C)C
63,CCOC(=O)c1cc(-c2ccn(CC)c2)n(-c2ccc(C)nc2)n1,CCn1ccc(-c2cc(C(=O)O)nn2-c2ccc(C)nc2)c1
64,COC(=O)c1ccc(CN2CCCCC2)cc1C,Cc1cc(CN2CCCCC2)ccc1C(=O)O
65,CC(C)(C)OC(=O)NC1CCN(C2CCC2)CC1,NC1CCN(C2CCC2)CC1
66,CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CCc1ccc(C(=N)N)cc1)n2C)c1ccccn1,Cn1c(CCc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21
67,CC(C)(C)OC(=O)c1ccc(C#N)cc1C(F)(F)F,N#Cc1ccc(C(=O)O)c(C(F)(F)F)c1
68,CCCc1nc(C)n(-c2ccc(OC(C)(C)C(C)O)cc2)c(=O)c1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,CCCc1nc(C)n(-c2ccc(OC(C)(C)C(C)=O)cc2)c(=O)c1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
69,CCOC(=O)CCc1cccc2c1B(O)OC2,OCCCc1cccc2c1B(O)OC2
70,CCC1C(=O)N(CC)CCc2cc([N+](=O)[O-])c(OC)cc21,CCC1C(=O)N(CC)CCc2cc(N)c(OC)cc21
71,COC(=O)CCCCCCCOc1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,O=C(O)CCCCCCCOc1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1
72,CC(C)(C)OC(=O)N1CCC(Nc2cccc3c(N)nccc23)CC1,Nc1nccc2c(NC3CCNCC3)cccc12
73,COC(=O)c1ccc2c(c1)n(CCC(C)C)c(=O)n2CCC(C)C,CC(C)CCn1c(=O)n(CCC(C)C)c2cc(C(=O)O)ccc21
74,CC(C#N)N1CCC(C(=O)c2ccc(F)cc2)CC1,CC(CN)N1CCC(C(=O)c2ccc(F)cc2)CC1
75,CCOC(=O)c1ccc2c(c1)[nH]c1c(C#N)ccc(N3CCCC(NC(=O)OCc4ccccc4)C3)c12,N#Cc1ccc(N2CCCC(NC(=O)OCc3ccccc3)C2)c2c1[nH]c1cc(C(=O)O)ccc12
76,CC(=O)CC(=O)NC(CC(=O)O)C(=O)O,CC(=O)CC(=O)NC1CC(=O)OC1=O
77,CCCCNC(=O)C(C)CC(O)C(CC(CNC(=O)c1ccccc1OCCCOC)C(C)C)NC(=O)OC(C)(C)C,CCCCNC(=O)C(C)CC(O)C(N)CC(CNC(=O)c1ccccc1OCCCOC)C(C)C
78,CC(C)(C)OC(=O)N1CCC2(CC1)CC(n1nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc31)C2,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CC2(CCNCC2)C1
79,CCOC(=O)C1CCC(c2cc(F)c(F)c(F)c2)=N1,CCOC(=O)C1CCC(c2cc(F)c(F)c(F)c2)N1
80,COc1ccc(CSC2COCC2C#N)cc1,COc1ccc(CSC2COCC2CN)cc1
81,O=C(CCl)NCC(O)CO,O=C1COC(CO)CN1
82,CCCCCCCCCCCCS(=O)(=O)C(F)(C(=O)OC)c1ccccc1,CCCCCCCCCCCCS(=O)(=O)C(F)(C(=O)O)c1ccccc1
83,c1ccc(CN2CCc3ncnc(Nc4ccccc4)c3C2)cc1,c1ccc(Nc2ncnc3c2CNCC3)cc1
84,C=Cc1nc(C)ccc1C#N,CCc1nc(C)ccc1C#N
85,COC(=O)c1nc(Br)cnc1N,Nc1ncc(Br)nc1CO
86,CCOC(=O)c1cc2c(n1CC#N)CCCC2,CCOC(=O)c1cc2c(n1CCN)CCCC2
87,CC(CO)Oc1cc(Oc2ccc(C(=O)N3CCC3)cc2Cl)cc(C(=O)Nc2ccn(C(C)C)n2)c1,CC(CO)Oc1cc(Oc2ccc(C(=O)N3CCC3)cc2)cc(C(=O)Nc2ccn(C(C)C)n2)c1
88,CCOC(=O)c1ncc(C(=O)OC(C)(C)C)[nH]1,CCOC(=O)c1ncc(C(=O)O)[nH]1
89,CC(C)(C)OC(=O)N1CC2CC2C1CNCc1ccccc1,CC(C)(C)OC(=O)N1CC2CC2C1CN
90,CC(C)(C)OC(=O)N1CCC(C2CC2CCNc2ncc(-n3cnnn3)cn2)CC1,c1nc(NCCC2CC2C2CCNCC2)ncc1-n1cnnn1
91,CCCCN1CCC(N(C(=O)OC(C)(C)C)c2ccc(C=CC(=O)OCC)cn2)C1,CCCCN1CCC(N(C(=O)OC(C)(C)C)c2ccc(C=CC(=O)O)cn2)C1
92,CC(C)N1Cc2c(NCc3cnc4ccccc4c3)nc(Cl)nc2C1=O,CC(C)N1Cc2c(NCc3cnc4ccccc4c3)ncnc2C1=O
93,COC(=O)c1nc(NCC(N)Cc2ccc(C(F)(F)F)cc2)sc1-c1ccc2cnc(F)cc2c1,NC(CNc1nc(CO)c(-c2ccc3cnc(F)cc3c2)s1)Cc1ccc(C(F)(F)F)cc1
94,O=[N+]([O-])c1cn(CCC(O)COc2ccc3nc(N4CCN(Cc5ccc(OC(F)(F)F)cc5)CC4)sc3c2)c(Cl)n1,O=[N+]([O-])c1cn2c(n1)OC(COc1ccc3nc(N4CCN(Cc5ccc(OC(F)(F)F)cc5)CC4)sc3c1)CC2
95,CN(C)CCn1cc(OC(c2ccccc2)c2ccccc2)c(=O)cc1CO,CN(C)CCn1cc(OC(c2ccccc2)c2ccccc2)c(=O)cc1C=O
96,COc1cc(C(=O)O)ccc1O,COc1cc(C=O)ccc1O
97,CN(C)S(=O)(=O)c1ccc(C(=O)O)cc1,CN(C)S(=O)(=O)c1ccc(CO)cc1
98,COC(OC)c1nc(C2CC(OS(C)(=O)=O)CN2C(=O)OCc2ccc([N+](=O)[O-])cc2)cs1,CS(=O)(=O)OC1CC(c2csc(C=O)n2)N(C(=O)OCc2ccc([N+](=O)[O-])cc2)C1
99,CCOC(=O)C1(NC(=O)c2cccc3cc(C)oc23)Cc2ccccc2C1,Cc1cc2cccc(C(=O)NC3(C(=O)O)Cc4ccccc4C3)c2o1
100,CCOC(=O)C=Cc1ccc(OCCOC)cc1NC(=O)c1ccc(Cl)cc1Cl,COCCOc1ccc(C=CC(=O)O)c(NC(=O)c2ccc(Cl)cc2Cl)c1
101,CC(C)COC(=O)CCC1NC(=O)C(Cc2ccccc2)N1,O=C1NC2CCC(=O)N2C1Cc1ccccc1
102,CCOC(=O)CC(C)(C)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1,CC(C)(CC(=O)O)c1ccc(C(=O)Nc2cn3cc(Cl)ccc3n2)cc1
103,COC(=O)c1ccccc1Nc1cc(Cl)c(OCc2ccccc2)c(Cl)c1,COC(=O)c1ccccc1Nc1cc(Cl)c(O)c(Cl)c1
104,CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CCC(=O)OC)cc2C)c1,CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CCC(=O)O)cc2C)c1
105,COC(=O)Cc1cccc(NC(=O)NCC(=O)N2C(C(=O)NCC(C)C)CC(S(=O)(=O)c3ccccc3)C2c2ccccc2F)c1,CC(C)CNC(=O)C1CC(S(=O)(=O)c2ccccc2)C(c2ccccc2F)N1C(=O)CNC(=O)Nc1cccc(CC(=O)O)c1
106,C[Si](C)(C)C#Cc1ccc(OC2CCCCO2)cc1,C#Cc1ccc(OC2CCCCO2)cc1
107,COc1cc(CN2CCC(O)CC2)ccc1[N+](=O)[O-],COc1cc(CN2CCC(O)CC2)ccc1N
108,CCc1cc([N+](=O)[O-])c(N)cc1Cl,CCc1cc(N)c(N)cc1Cl
109,CCCc1ccc(-n2ncc3c2CCc2cc(OC)ccc2-3)cc1,CCCc1ccc(-n2ncc3c2CCc2cc(O)ccc2-3)cc1
110,CC(C)(C)OC(=O)NC(C(=O)N1CC=CC1C#N)C(C)(C)C,CC(C)(C)C(N)C(=O)N1CC=CC1C#N
111,CC(C)(C)OC(=O)N1CCOC2(CN(CCc3cccc(CCO)c3)C2)C1,OCCc1cccc(CCN2CC3(CNCCO3)C2)c1
112,CC(C)(C)[Si](C)(C)OCCCNC(=O)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1,O=C(NCCCO)c1cc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1
113,CC1OCC2(c3cc([N+](=O)[O-])ccc3F)N=C(NC(=O)OC(C)(C)C)N(C)C(=O)C12,CC1OCC2(c3cc(N)ccc3F)N=C(NC(=O)OC(C)(C)C)N(C)C(=O)C12
114,Cc1cn(-c2cc(Oc3ccc([N+](=O)[O-])nc3C)ccn2)cn1,Cc1cn(-c2cc(Oc3ccc(N)nc3C)ccn2)cn1
115,CCOC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(OCCCF)cc2)c1C,Cc1c(C(=O)O)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(OCCCF)cc1
116,O=C(NC12CC3CC(CC(CO)(C3)C1)C2)c1cccc(Cl)c1,O=CC12CC3CC(C1)CC(NC(=O)c1cccc(Cl)c1)(C3)C2
117,CC(C)(C)OC(=O)NCCCN1CCCC1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O,NCCCN1CCCC1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O
118,CCOC(=O)C1CC2(CCN(c3cc(OC(c4ccc(C#N)cc4-n4ccc(C)n4)C(F)(F)F)nc(N)n3)CC2)CN1,Cc1ccn(-c2cc(C#N)ccc2C(Oc2cc(N3CCC4(CC3)CNC(C(=O)O)C4)nc(N)n2)C(F)(F)F)n1
119,CCOC(=O)C1COc2ccccc2C1=O,CCOC(=O)C1COc2ccccc2C1
120,COC(=O)CC1Cc2ccc(OCCCNc3ccccn3)cc2CN(CCc2ccccc2)C1=O,O=C(O)CC1Cc2ccc(OCCCNc3ccccn3)cc2CN(CCc2ccccc2)C1=O
121,COC(=O)C(CNC(=O)OC(C)(C)C)N1CCN(C(=O)C(C)C)CC1,CC(C)C(=O)N1CCN(C(CNC(=O)OC(C)(C)C)C(=O)O)CC1
122,COC(=O)c1cc([N+](=O)[O-])ccc1Br,COC(=O)c1cc(N)ccc1Br
123,CCOC(=O)CCCc1ccc(-c2ccccc2)cc1,O=C(O)CCCc1ccc(-c2ccccc2)cc1
124,CCOC(=O)c1coc2cc(OC)ccc12,CCOC(=O)c1coc2cc(O)ccc12
125,CC(C)(C)OC(=O)CC(CCCC1CCCCC1)c1nc(C(=O)N2CCC(c3ccncc3)CC2)no1,O=C(O)CC(CCCC1CCCCC1)c1nc(C(=O)N2CCC(c3ccncc3)CC2)no1
126,OCc1cc(Br)ccc1Cl,O=Cc1cc(Br)ccc1Cl
127,CCOC(=O)C1(NC(=O)c2c(C)cc(C)nc2N(C)CC)Cc2ccccc2C1,CCN(C)c1nc(C)cc(C)c1C(=O)NC1(C(=O)O)Cc2ccccc2C1
128,O=C1Nc2ccc3ccccc3c2CCC1(Cl)Cl,O=C1Nc2ccc3ccccc3c2CCC1Cl
129,O=C(O)C1(c2ccc(Cl)cc2)CC1,OCC1(c2ccc(Cl)cc2)CC1
130,O=C(c1ccccc1)c1ccccc1,OC(c1ccccc1)c1ccccc1
131,CCC1CN(C(Cc2ccc3ccccc3c2)C(=O)OC)CCN1C(=O)C(Cc1ccc(F)cc1)NC(=O)OC(C)(C)C,CCC1CN(C(Cc2ccc3ccccc3c2)C(=O)O)CCN1C(=O)C(Cc1ccc(F)cc1)NC(=O)OC(C)(C)C
132,CCCC(C(=O)OC)c1c(C)nc(-c2ccccc2)nc1N1CCN(C)CC1,CCCC(C(=O)O)c1c(C)nc(-c2ccccc2)nc1N1CCN(C)CC1
133,C=C(C)c1ccc(Br)cc1,CC(C)c1ccc(Br)cc1
134,CC(C)(C)OC(=O)N1CCC(Nc2ccc(C#N)cc2Oc2ccccc2Br)CC1,CC(C)(C)OC(=O)N1CCC(N2c3ccccc3Oc3cc(C#N)ccc32)CC1
135,COCCCn1c(C2CCCN(C(=O)CC(Cc3ccc(N4CCCC4=O)cc3)NC(=O)OC(C)(C)C)C2)nc2ccccc21,COCCCn1c(C2CCCN(C(=O)CC(N)Cc3ccc(N4CCCC4=O)cc3)C2)nc2ccccc21
136,CC(C)CCSc1cc(C(=O)O)cc([N+](=O)[O-])c1-c1ccccc1,CC(C)CCSc1cc(C(=O)O)cc(N)c1-c1ccccc1
137,CCOC(=O)C(=O)C1(CC)C=C(CC)C=C(CC)C1,CCC1=CC(CC)(C(=O)C(=O)O)CC(CC)=C1
138,O=Cc1cnccc1Br,OCc1cnccc1Br
139,COC(=O)C(Cc1ccc(Oc2ccc(C=C3SC(=O)NC3=O)cc2)cc1)NC(=O)C(CCSC)NC(=O)OC(C)(C)C,COC(=O)C(Cc1ccc(Oc2ccc(C=C3SC(=O)NC3=O)cc2)cc1)NC(=O)C(N)CCSC
140,O=[N+]([O-])c1cccc2c1B(O)OC2,Nc1cccc2c1B(O)OC2
141,Cc1cc(C(=O)N2CCN(C(=O)OC(C)(C)C)CC2)n(-c2ccccc2)n1,Cc1cc(C(=O)N2CCNCC2)n(-c2ccccc2)n1
142,O=C1c2ccccc2C(=O)N1c1ccn(Cc2ccc(Cl)cc2C(F)(F)F)n1,Nc1ccn(Cc2ccc(Cl)cc2C(F)(F)F)n1
143,COc1cc(Oc2ccccc2)cc(C)c1C=O,Cc1cc(Oc2ccccc2)cc(O)c1C=O
144,CCOC(=O)c1cc(F)cc(-c2ncnc3ccc(Br)cc23)c1,O=C(O)c1cc(F)cc(-c2ncnc3ccc(Br)cc23)c1
145,CC(C)(C)OC(=O)N1CCN(Cc2ccc(OCc3cccc(F)c3)cc2)CC1,Fc1cccc(COc2ccc(CN3CCNCC3)cc2)c1
146,O=c1ccc2c(Oc3ccc([N+](=O)[O-])cc3)ccnc2[nH]1,Nc1ccc(Oc2ccnc3[nH]c(=O)ccc23)cc1
147,CC(C)(C)OC(=O)NCCNc1c([N+](=O)[O-])c(Cl)nc2ccccc12,CC(C)(C)OC(=O)NCCNc1c(N)c(Cl)nc2ccccc12
148,COc1ccc(CC(NC(=O)C2(NC(=O)C3Cc4ccccc4C3)CC2)C(=O)OCc2ccccc2)cc1,COc1ccc(CC(NC(=O)C2(NC(=O)C3Cc4ccccc4C3)CC2)C(=O)O)cc1
149,CCOC(=O)C(F)=C(C)c1cc2c(cc1OC)OC(C)(C)C=C2CC,CCC1=CC(C)(C)Oc2cc(OC)c(C(C)=C(F)CO)cc21
150,CC1COCc2nc3c(N)nc4cc(OCc5ccccc5)ccc4c3n21,CC1COCc2nc3c(N)nc4cc(O)ccc4c3n21
151,COc1ccc(C2=NNC(=O)C2(C)C)c(F)c1F,CC1(C)C(=O)NN=C1c1ccc(O)c(F)c1F
152,COC(=O)C(Cc1ccc(-c2ccnc(C)c2C)cc1)NC(=O)C1Cc2cc3c(cc2CN1C(=O)c1nc(C)oc1C)OC(c1ccc(OCc2ccc(Cl)c(Cl)c2)cc1)CO3,Cc1nc(C(=O)N2Cc3cc4c(cc3CC2C(=O)NC(Cc2ccc(-c3ccnc(C)c3C)cc2)C(=O)O)OCC(c2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)O4)c(C)o1
153,CC(=O)Oc1ccc2c(c1)CCC1C3CCC(=O)C3(C)CC(O)C21O,CC(=O)Oc1ccc2c(c1)CCC1C3CCC(=O)C3(C)CC(=O)C21O
154,CCCCC1CN(Cc2ccccc2)CCN1C(=O)c1cccc(C)c1C,CCCCC1CNCCN1C(=O)c1cccc(C)c1C
155,COCCC(=O)c1cn(C)c2ccc(CNC3CC3)cc12,COCCCc1cn(C)c2ccc(CNC3CC3)cc12
156,CCOC(=O)CC(c1ccc(OC2Cc3ccccc3C2)cc1)c1cc(F)cc(F)c1,O=C(O)CC(c1ccc(OC2Cc3ccccc3C2)cc1)c1cc(F)cc(F)c1
157,CC1CN(Cc2ccccc2)C(CN2CCOCC2)CN1C(=O)OC(C)(C)C,CC1CNC(CN2CCOCC2)CN1C(=O)OC(C)(C)C
158,CCOC(=O)c1cn2c(cc1=O)-c1cc(OC)c(OCC(C)(C)CO)cc1CC2C(C)C,COc1cc2c(cc1OCC(C)(C)CO)CC(C(C)C)n1cc(C(=O)O)c(=O)cc1-2
159,CNC(=O)c1cn(C)c2cc(OC)ccc12,CNC(=O)c1cn(C)c2cc(O)ccc12
160,CCOC(=O)c1cc(Nc2ncnc3cc[nH]c23)ccc1Oc1ccccc1,O=C(O)c1cc(Nc2ncnc3cc[nH]c23)ccc1Oc1ccccc1
